"page","url","domain","path","queryParams","method","status","mimeType","responseSize"
"https://example.com","https://example.com/","example.com","/","","GET",200,"text/html",648
"https://example.com","https://example.com/favicon.ico","example.com","/favicon.ico","","GET",404,"text/html",1256
"https://cnn.com","https://cnn.com/","cnn.com","/","","GET",301,"unknown",0
"https://cnn.com","https://www.cnn.com/","www.cnn.com","/","","GET",302,"unknown",0
"https://cnn.com","https://edition.cnn.com/","edition.cnn.com","/","","GET",200,"text/html; charset=utf-8",420370
"https://cnn.com","https://edition.cnn.com/media/sites/js/bundles/cnn-edition-adfuel-body-48c8914ec2fd08475089aa971e767d5745c7d4261e968971c6fb4b2c3db1d645.min.js","edition.cnn.com","/media/sites/js/bundles/cnn-edition-adfuel-body-48c8914ec2fd08475089aa971e767d5745c7d4261e968971c6fb4b2c3db1d645.min.js","","GET",200,"application/javascript; charset=UTF-8",47100
"https://cnn.com","https://edition.cnn.com/media/sites/js/bundles/cnn-edition-adfuel-c4112fcd4ead64437e684b236cbcf81539badb42519881aade9df2477b438058.min.js","edition.cnn.com","/media/sites/js/bundles/cnn-edition-adfuel-c4112fcd4ead64437e684b236cbcf81539badb42519881aade9df2477b438058.min.js","","GET",200,"application/javascript; charset=UTF-8",200492
"https://cnn.com","https://cdn.optimizely.com/public/125375509/s/landingprod.js","cdn.optimizely.com","/public/125375509/s/landingprod.js","","GET",200,"text/javascript; charset=utf-8",119155
"https://cnn.com","https://lightning.cnn.com/launch/7be62238e4c3/97fa00444124/launch-2878c87af5e3.min.js","lightning.cnn.com","/launch/7be62238e4c3/97fa00444124/launch-2878c87af5e3.min.js","","GET",200,"application/x-javascript",0
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/zandinew.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/zandinew.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",28658
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209365375.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-2209365375.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",25966
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/still-21541044-1119260-496-still.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/still-21541044-1119260-496-still.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",28703
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/20250413-trump-warren-split-vpx.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/20250413-trump-warren-split-vpx.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",22747
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2210148474.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-2210148474.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",49457
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1374320820-20250410173310241.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-1374320820-20250410173310241.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",33308
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2210129992.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-2210129992.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",14146
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2198277614.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-2198277614.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",10117
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1265777330.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-1265777330.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",18770
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/111213062935-suburbia-john-hughes.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/111213062935-suburbia-john-hughes.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",16807
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209996679.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-2209996679.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",16896
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/02-close-up-of-new-frigate-and-shipyard-nampo-north-korea-06apr2025-wvl.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/02-close-up-of-new-frigate-and-shipyard-nampo-north-korea-06apr2025-wvl.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",21939
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/dsc04278.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/dsc04278.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",14036
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/220407062951-05-craigslist-cruise-ship-body-20250404114949696.jpg?c=16x9&q=h_270,w_480,c_fill","media.cnn.com","/api/v1/images/stellar/prod/220407062951-05-craigslist-cruise-ship-body-20250404114949696.jpg","c=16x9&q=h_270%2Cw_480%2Cc_fill","GET",200,"image/jpeg",23119
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-672580192.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-672580192.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",18345
"https://cnn.com","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209968161.jpg?c=1x1&q=h_256,w_256,c_fill","media.cnn.com","/api/v1/images/stellar/prod/gettyimages-2209968161.jpg","c=1x1&q=h_256%2Cw_256%2Cc_fill","GET",200,"image/jpeg",12258
