"pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
,"cnn.com","document",false,false,,0,213,301
,"www.cnn.com","document",false,false,,0,236,302
,"edition.cnn.com","document",false,false,,437.2,370,200
,"media.cnn.com","image",true,false,,90.31,304,200
,"media.cnn.com","image",true,false,,28.6,308,200
,"media.cnn.com","image",true,false,,35.33,310,200
,"media.cnn.com","image",true,false,,15.13,312,200
,"edition.cnn.com","script",false,false,,46,328,200
,"edition.cnn.com","script",false,false,,197.45,334,200
,"media.cnn.com","image",true,false,,45.32,358,200
,"cdn.optimizely.com","script",true,false,,116.84,401,200
,"media.cnn.com","image",true,false,,9.7,655,200
,"media.cnn.com","image",true,false,,4.74,658,200
,"media.cnn.com","image",true,false,,10.51,659,200
,"lightning.cnn.com","script",true,false,,0,527,200
,"media.cnn.com","image",true,false,,103.87,823,200
,"media.cnn.com","image",true,false,,24.45,876,200
,"media.cnn.com","image",true,false,,10.05,876,200
,"edition.cnn.com","image",false,false,,0.11,167,200
,"edition.cnn.com","image",false,false,,0.32,170,200
,"edition.cnn.com","image",false,false,,0.19,170,200
,"edition.cnn.com","image",false,false,,0.62,171,200
,"edition.cnn.com","image",false,false,,0.34,175,200
,"edition.cnn.com","image",false,false,,0.49,177,200
,"media.cnn.com","image",true,false,,288.97,894,200
,"media.cnn.com","image",true,false,,10.43,889,200
,"media.cnn.com","image",true,false,,12.37,890,200
,"media.cnn.com","image",true,false,,9.97,891,200
,"media.cnn.com","image",true,false,,12.14,892,200
,"media.cnn.com","image",true,false,,5.7,892,200
,"media.cnn.com","image",true,false,,4.31,892,200
,"media.cnn.com","image",true,false,,9.12,893,200
,"media.cnn.com","image",true,false,,11.08,893,200
,"media.cnn.com","image",true,false,,48.54,928,200
,"edition.cnn.com","font",false,false,,45.38,225,200
,"edition.cnn.com","font",false,false,,45.32,229,200
,"media.cnn.com","image",true,false,,75.69,945,200
,"edition.cnn.com","font",false,false,,46.12,233,200
,"media.cnn.com","image",true,false,,73.02,1487,200
,"media.cnn.com","image",true,false,,6.78,1486,200
,"media.cnn.com","image",true,false,,6.05,1487,200
,"media.cnn.com","image",true,false,,70.37,1489,200
,"media.cnn.com","image",true,false,,34.64,1488,200
,"media.cnn.com","image",true,false,,606.96,1499,200
,"media.cnn.com","image",true,false,,6.54,1491,200
,"media.cnn.com","image",true,false,,10.25,1491,200
,"media.cnn.com","image",true,false,,15.4,1491,200
,"media.cnn.com","image",true,false,,40.84,1491,200
,"media.cnn.com","image",true,false,,102.73,1492,200
,"media.cnn.com","image",true,false,,45.09,1492,200
,"media.cnn.com","image",true,false,,44.02,1492,200
,"media.cnn.com","image",true,false,,42.12,1493,200
,"media.cnn.com","image",true,false,,33.14,1493,200
,"media.cnn.com","image",true,false,,92.98,1493,200
